code,name,stockType,categoryA,categoryB,categoryC
032640,LG유플러스,보통주,통신서비스,통신서비스,무선통신
002900,동양물산기업,보통주,산업재,자본재,기계
003490,대한항공,보통주,산업재,운송,항공운수
002870,신풍제지,보통주,소재,소재,종이 및 목재
001780,알루코,보통주,소재,소재,금속 및 광물
145210,세화아이엠씨,보통주,경기소비재,자동차 및 부품,자동차부품
025750,한솔홈데코,보통주,소재,소재,종이 및 목재
003850,보령제약,보통주,의료,제약 및 바이오,제약
008560,메리츠증권,보통주,금융,증권,증권
009460,한창제지,보통주,소재,소재,종이 및 목재
000990,DB 하이텍,보통주,IT,반도체,반도체 및 관련장비
003060,에이프로젠제약,보통주,의료,제약 및 바이오,제약
028670,팬오션,보통주,산업재,운송,해상운수
005940,NH투자증권,보통주,금융,증권,증권
055550,신한금융지주회사,보통주,금융,은행,상업은행
003560,아이에이치큐,보통주,경기소비재,미디어,미디어
011000,진원생명과학,보통주,의료,제약 및 바이오,바이오
105560,KB금융지주,보통주,금융,은행,상업은행
009830,한화솔루션,보통주,소재,소재,화학
138930,BNK금융지주,보통주,금융,은행,상업은행
007210,벽산,보통주,산업재,자본재,건축자재
002880,대유에이텍,보통주,경기소비재,자동차 및 부품,자동차부품
012030,디비아이엔씨,보통주,IT,소프트웨어,IT 서비스
003530,한화투자증권,보통주,금융,증권,증권
018500,동원금속,보통주,경기소비재,자동차 및 부품,자동차부품
007460,에이프로젠케이아이씨,보통주,소재,소재,금속 및 광물
012160,영흥,보통주,소재,소재,금속 및 광물
005380,현대자동차,보통주,경기소비재,자동차 및 부품,자동차
011280,태림포장,보통주,소재,소재,용기 및 포장
003160,디아이,보통주,IT,반도체,반도체 및 관련장비
004770,써니전자,보통주,IT,하드웨어,전자 장비 및 기기
031820,콤텍시스템,보통주,IT,하드웨어,통신장비
005110,한창,보통주,금융,부동산,부동산
316140,우리금융지주,보통주,금융,은행,상업은행
009900,명신산업,보통주,경기소비재,자동차 및 부품,자동차부품
001250,지에스글로벌,보통주,산업재,자본재,무역
064350,현대로템,보통주,산업재,운송,운송인프라
032350,롯데관광개발,보통주,경기소비재,소비자 서비스,호텔 및 레저
028050,삼성엔지니어링,보통주,산업재,자본재,건설
013870,지엠비코리아,보통주,경기소비재,자동차 및 부품,자동차부품
093370,후성,보통주,소재,소재,화학
000300,대유플러스,보통주,경기소비재,자동차 및 부품,자동차부품
008350,남선알미늄,보통주,소재,소재,금속 및 광물
008040,사조동아원,보통주,필수소비재,음식료 및 담배,식료품
085310,엔케이,보통주,산업재,자본재,조선
023800,인지컨트롤스,보통주,경기소비재,자동차 및 부품,자동차부품
006740,영풍제지,보통주,소재,소재,종이 및 목재
030200,케이티,보통주,통신서비스,통신서비스,무선통신
000720,현대건설,보통주,산업재,자본재,건설
015590,큐로,보통주,산업재,자본재,기계
027410,비지에프,보통주,경기소비재,유통,도소매
001520,동양,보통주,소재,소재,건축소재
272210,한화시스템,보통주,산업재,상업서비스,상업서비스
005850,에스엘,보통주,경기소비재,자동차 및 부품,자동차부품
145270,케이탑자기관리부동산투자회사,보통주,,,
000890,보해양조,보통주,필수소비재,음식료 및 담배,음료
002360,SH에너지화학,보통주,소재,소재,화학
336260,두산퓨얼셀보통주,보통주,IT,하드웨어,전자 장비 및 기기
024900,덕양산업,보통주,경기소비재,자동차 및 부품,자동차부품
010050,우리종합금융,보통주,금융,기타금융,창업투자 및 종금
004020,현대제철,보통주,소재,소재,금속 및 광물
353200,대덕전자,보통주,IT,하드웨어,전자 장비 및 기기
018880,한온시스템,보통주,경기소비재,자동차 및 부품,자동차부품
006360,지에스건설,보통주,산업재,자본재,건설
010060,오씨아이,보통주,소재,소재,화학
006340,대원전선,보통주,산업재,자본재,전기장비
001340,백광산업,보통주,소재,소재,화학
298050,효성첨단소재,보통주,소재,소재,화학
003410,쌍용양회공업,보통주,소재,소재,건축소재
027740,마니커,보통주,필수소비재,음식료 및 담배,식료품
002700,신일전자,보통주,경기소비재,내구소비재 및 의류,내구소비재
000060,메리츠화재해상보험,보통주,금융,보험,보험
092200,디아이씨,보통주,경기소비재,자동차 및 부품,자동차부품
005250,녹십자홀딩스,보통주,의료,제약 및 바이오,제약
001740,SK네트웍스,보통주,산업재,자본재,복합 산업
093240,형지엘리트,보통주,경기소비재,내구소비재 및 의류,섬유 및 의복
009320,대우전자부품,보통주,경기소비재,자동차 및 부품,자동차부품
047810,한국항공우주산업,보통주,산업재,상업서비스,상업서비스
035150,백산,보통주,경기소비재,내구소비재 및 의류,섬유 및 의복
251270,넷마블,보통주,IT,소프트웨어,게임 소프트웨어
294870,에이치디씨현대산업개발,보통주,산업재,자본재,건설
004490,세방전지,보통주,경기소비재,자동차 및 부품,자동차부품
015860,일진홀딩스,보통주,산업재,자본재,전기장비
011210,현대위아,보통주,경기소비재,자동차 및 부품,자동차부품
033270,한국유나이티드제약,보통주,의료,제약 및 바이오,제약
011330,유니켐,보통주,경기소비재,내구소비재 및 의류,섬유 및 의복
000040,케이알모터스,보통주,경기소비재,자동차 및 부품,자동차
028260,삼성물산,보통주,산업재,자본재,복합 산업
035420,네이버,보통주,IT,소프트웨어,인터넷 서비스
012450,한화에어로스페이스,보통주,산업재,상업서비스,상업서비스
009270,신원,보통주,경기소비재,내구소비재 및 의류,섬유 및 의복
034830,한국토지신탁,보통주,금융,부동산,부동산
012800,대창,보통주,소재,소재,금속 및 광물
008600,윌비스,보통주,경기소비재,내구소비재 및 의류,섬유 및 의복
001380,에스지충방,보통주,경기소비재,자동차 및 부품,자동차부품
071950,코아스,보통주,경기소비재,내구소비재 및 의류,내구소비재
035720,카카오,보통주,IT,소프트웨어,인터넷 서비스
011780,금호석유화학,보통주,소재,소재,화학
037560,엘지헬로비전,보통주,경기소비재,미디어,미디어
041650,상신브레이크,보통주,경기소비재,자동차 및 부품,자동차부품
008770,호텔신라,보통주,경기소비재,유통,도소매
010690,화신,보통주,경기소비재,자동차 및 부품,자동차부품
005320,국동,보통주,경기소비재,내구소비재 및 의류,섬유 및 의복
042700,한미반도체,보통주,IT,반도체,반도체 및 관련장비
083420,그린케미칼,보통주,소재,소재,화학
004270,남성,보통주,IT,하드웨어,전자 장비 및 기기
088980,맥쿼리한국인프라투융자회사,보통주,,,
264900,크라운제과(신설),보통주,필수소비재,음식료 및 담배,식료품
101140,인바이오젠,보통주,경기소비재,유통,도소매
047400,유니온머티리얼,보통주,경기소비재,자동차 및 부품,자동차부품
136490,선진,보통주,필수소비재,음식료 및 담배,식료품
007120,미래아이앤지,보통주,IT,소프트웨어,IT 서비스
014580,태경비케이,보통주,소재,소재,건축소재
005070,코스모신소재,보통주,IT,하드웨어,컴퓨터 및 주변기기
066575,LG전자1우,우선주,경기소비재,내구소비재 및 의류,내구소비재
000370,한화손해보험,보통주,금융,보험,보험
003090,대웅,보통주,의료,제약 및 바이오,제약
003520,영진약품,보통주,의료,제약 및 바이오,제약
204320,만도,보통주,경기소비재,자동차 및 부품,자동차부품
015540,쎌마테라퓨틱스,보통주,경기소비재,유통,도소매
004360,세방,보통주,산업재,운송,육상운수
005690,파미셀,보통주,의료,제약 및 바이오,바이오
079430,현대리바트,보통주,경기소비재,내구소비재 및 의류,내구소비재
006570,대림통상,보통주,산업재,자본재,건축자재
020560,아시아나항공,보통주,산업재,운송,항공운수
091810,티웨이항공,보통주,산업재,운송,항공운수
009810,엔케이물산,보통주,경기소비재,미디어,미디어
017180,명문제약,보통주,의료,제약 및 바이오,제약
104700,한국철강,보통주,소재,소재,금속 및 광물
033240,자화전자,보통주,IT,하드웨어,통신장비
195870,해성디에스,보통주,IT,반도체,반도체 및 관련장비
