code,name,stockType,closePrice,reate,tradeAmount,market_value,PER,결산월,listingDate,categoryA,categoryB,categoryC,faceValue,issuedStocks,price,high,low,transactionPrice,TotalAssets,sales,operationProfit,salesGrowthRate,DPS,ROA,ROE
088260,이리츠코크렙기업구조조정부동산투자회사,보통주,5700,-.35,134457,3610,,12,20180627,금융,부동산,부동산,500,63341590,5730,5750,5650,384,5087,137,10255,-47.05,,.72,1.57
014910,성문전자,보통주,1950,-1.54,133545,380,-23.3,12,19900324,산업재,자본재,전기장비,500,19486857,2020,2025,1975,186,425,359,-1555,-13.08,,-4.31,-6.57
058430,포스코강판,보통주,16450,1.52,133120,987,38.3,12,20020816,소재,소재,금속 및 광물,5000,6000000,15500,16700,15300,3572,5034,9167,9977,-2.51,400,.54,1.23
009540,한국조선해양,보통주,81700,1.35,133090,57822,54.56,12,19990824,산업재,자본재,조선,5000,70773116,81100,81300,80200,8613,250554,151826,290168,15.36,,.86,1.4
092440,기신정기,보통주,3795,.79,133018,1108,9.66,03,20071030,산업재,자본재,기계,500,29200000,3750,3805,3720,294,2517,1246,9259,4.75,150,3.49,3.69
071950,코아스,보통주,1095,0,132790,338,18.41,12,20050804,경기소비재,내구소비재 및 의류,내구소비재,500,30907210,1120,1125,1090,220,773,1129,3081,3.94,,2.72,8.97
111770,영원무역,보통주,31300,-1.92,131648,13869,9.13,12,20090730,경기소비재,내구소비재 및 의류,섬유 및 의복,500,44311468,30450,32000,30100,13213,31045,23883,237561,13.66,400,6.07,9.82
034730,SK,보통주,202000,1.24,130014,142128,25.91,12,20091111,에너지,에너지,석유 및 가스,200,70360297,200000,200000,197500,18494,1320207,992646,3949864,-.9,5000,1.28,4.31
081000,일진다이아몬드,보통주,47850,-.31,129658,6796,31.33,12,20041222,소재,소재,금속 및 광물,1000,14202975,50400,50500,48000,12019,2491,1611,13219,20.23,300,6.24,8.06
000120,씨제이대한통운,보통주,167500,-1.49,127101,38211,89.01,12,19560702,산업재,운송,육상운수,5000,22812344,178000,178000,168500,19664,91100,104151,307186,12.97,,.6,1.41
010100,한국프랜지공업,보통주,2050,-1.22,126186,624,5.9,12,19871002,경기소비재,자동차 및 부품,자동차부품,1000,30450420,2130,2130,2055,355,6523,9540,14862,20.21,50,1.69,5.35
102260,동성코퍼레이션,보통주,4130,-.48,126031,1817,42.1,12,20080623,소재,소재,화학,1000,43993012,4135,4200,4050,438,8505,8498,51826,4.52,200,3.02,2
307950,현대오토에버,보통주,65100,3.23,125706,13671,18.85,12,20190328,IT,소프트웨어,IT 서비스,500,21000000,66700,67000,62500,11569,10267,15718,80212,10.31,710,6.13,11.71
002460,화성산업,보통주,12600,1.19,124540,1569,18.9,12,19880929,산업재,자본재,건설,5000,12450800,12850,13050,12400,3439,6126,4514,29623,-5.01,500,1.22,2.06
025560,미래산업,보통주,3035,-.82,124223,512,-11.6,12,19961122,IT,반도체,반도체 및 관련장비,100,16864368,3130,3135,3055,218,737,277,-5674,-19.73,,-10.28,-12.97
001570,금양,보통주,5100,.2,124019,2246,-9.72,12,19761217,소재,소재,화학,500,44048135,5090,5280,5030,1172,2242,1727,9211,-15.93,,-5.08,-14.85
003010,혜인,보통주,5280,-1.33,123909,671,11.83,12,19880920,산업재,자본재,기계,500,12712747,5390,5500,5240,1305,2183,2609,11804,20.36,60,1.9,4.55
029460,케이씨,보통주,23700,-1.9,122497,3212,5.01,12,19971125,IT,반도체,반도체 및 관련장비,500,13554044,24750,24850,24100,1889,6805,5119,67635,-2.69,250,9.39,12.38
036580,팜스코,보통주,4845,-.62,122312,1779,-20.41,12,19991025,필수소비재,음식료 및 담배,식료품,500,36727943,4800,4930,4800,321,9792,11650,20208,14.7,50,-.85,-2.77
